"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30298","Coupon Creation Smoke Test","chromium","Wed Sep 17 15:50:48 IST 2025","broken","Wed Sep 17 15:51:18 IST 2025","@smokeEverShop Smoke Test Suite","Evershop_DDF\smoke-test.spec.ts","",""
"","6604","@p1Create New Coupon in Evershop","chromium","Wed Sep 17 16:14:23 IST 2025","passed","Wed Sep 17 16:14:29 IST 2025","","Evershop_DDF\create-coupon.spec.ts","",""
"","8687","@p1Create New Coupon in Evershop","firefox","Wed Sep 17 16:14:23 IST 2025","passed","Wed Sep 17 16:14:31 IST 2025","","Evershop_DDF\create-coupon.spec.ts","",""
"","12277","@p1 Add Product in Evershop","chromium","Wed Sep 17 16:01:22 IST 2025","failed","Wed Sep 17 16:01:34 IST 2025","","Evershop_DDF\admin-add-product.spec.ts","",""
"","14193","Admin Login and Product Creation Smoke Test","chromium","Wed Sep 17 15:50:48 IST 2025","failed","Wed Sep 17 15:51:02 IST 2025","@smokeEverShop Smoke Test Suite","Evershop_DDF\smoke-test.spec.ts","",""
"","15046","Admin Verification Smoke Test","chromium","Wed Sep 17 15:50:48 IST 2025","failed","Wed Sep 17 15:51:03 IST 2025","@smokeEverShop Smoke Test Suite","Evershop_DDF\smoke-test.spec.ts","",""
"","14891","User Registration Smoke Test","chromium","Wed Sep 17 15:50:48 IST 2025","failed","Wed Sep 17 15:51:03 IST 2025","@smokeEverShop Smoke Test Suite","Evershop_DDF\smoke-test.spec.ts","",""
"","21749","signup page and Admin validation","chromium","Wed Sep 17 15:52:37 IST 2025","failed","Wed Sep 17 15:52:59 IST 2025","@p1Subscription Flow","Evershop_DDF\subscription-flow.spec.ts","",""
"","22599","@p1Add Product in Evershop","chromium","Wed Sep 17 15:52:37 IST 2025","failed","Wed Sep 17 15:53:00 IST 2025","","Evershop_DDF\admin-add-product.spec.ts","",""
